zip,crimeCount,crimePercentage
77002,5300,2.306704677
77003,2597,1.130285291
77004,5647,2.457728549
77005,701,0.305094336
77006,3296,1.434509172
77007,4647,2.022501251
77008,3046,1.325702348
77009,3450,1.501534176
77010,341,0.148412508
77011,1544,0.671990947
77012,1396,0.607577307
77013,2391,1.040628468
77014,224,0.097490915
77015,1572,0.684177312
77016,3725,1.621221683
77017,2757,1.199921659
77018,2183,0.95010119
77019,2396,1.042804605
77020,2896,1.260418253
77021,4588,1.996822841
77022,4246,1.847975105
77023,2457,1.06935347
77024,2373,1.032794377
77025,2076,0.90353187
77026,3652,1.58945009
77027,2391,1.040628468
77028,2489,1.083280743
77029,964,0.419559115
77030,1562,0.679825039
77031,1689,0.735098905
77032,3287,1.430592127
77033,3217,1.400126216
77034,3335,1.451483037
77035,2931,1.275651209
77036,8545,3.719017257
77037,1371,0.596696625
77038,495,0.215437512
77039,21,0.009139773
77040,2749,1.196439841
77041,879,0.382564794
77042,4691,2.041651252
77043,1825,0.794289818
77044,131,0.057014776
77045,2532,1.101995517
77046,118,0.051356821
77047,1571,0.683742084
77048,1653,0.719430723
77049,162,0.070506822
77050,140,0.060931822
77051,2769,1.205144387
77053,1336,0.581463669
77054,3569,1.553326225
77055,3538,1.539834178
77056,4345,1.891062607
77057,5184,2.25621831
77058,501,0.218048876
77059,226,0.098361369
77060,4073,1.772680783
77061,3517,1.530694405
77062,564,0.245468196
77063,5366,2.335429678
77064,741,0.322503427
77065,2,0.000870455
77066,126,0.054838639
77067,1681,0.731617087
77069,130,0.056579549
77070,1656,0.720736405
77071,1506,0.65545231
77072,4654,2.025547842
77073,22,0.009575001
77074,3412,1.484995539
77075,3404,1.481513721
77076,2734,1.189911431
77077,4817,2.096489892
77078,1400,0.609318216
77079,2044,0.889604596
77080,2785,1.212108023
77081,3836,1.669531913
77082,3093,1.346158031
77083,158,0.068765913
77084,820,0.356886384
77085,1306,0.56840685
77086,13,0.005657955
77087,2762,1.202097796
77088,3167,1.378364851
77089,1973,0.858703458
77090,52,0.022631819
77091,2823,1.228646661
77092,5828,2.53650469
77093,3157,1.374012578
77094,528,0.229800013
77095,4,0.001740909
77096,2882,1.254325071
77098,1777,0.773398908
77099,3695,1.608164864
77201,2,0.000870455
77204,2,0.000870455
77208,1,0.000435227
77303,2,0.000870455
77316,1,0.000435227
77327,2,0.000870455
77328,1,0.000435227
77336,238,0.103584097
77338,541,0.235457968
77339,1728,0.75207277
77345,460,0.200204557
77346,6,0.002611364
77357,3,0.001305682
77365,167,0.072682959
77373,7,0.003046591
77375,1,0.000435227
77377,3,0.001305682
77378,1,0.000435227
77380,3,0.001305682
77384,1,0.000435227
77385,3,0.001305682
77386,1,0.000435227
77388,7,0.003046591
77389,2,0.000870455
77396,944,0.410854569
77401,96,0.041781821
77407,1,0.000435227
77417,2,0.000870455
77422,1,0.000435227
77429,3,0.001305682
77433,1,0.000435227
77449,12,0.005222728
77450,12,0.005222728
77459,4,0.001740909
77469,5,0.002176136
77471,4,0.001740909
77477,155,0.067460231
77478,42,0.018279546
77479,1,0.000435227
77484,4,0.001740909
77488,1,0.000435227
77489,774,0.336865928
77493,1,0.000435227
77494,13,0.005657955
77498,1,0.000435227
77502,27,0.011751137
77503,3,0.001305682
77504,76,0.033077275
77506,10,0.004352273
77511,1,0.000435227
77520,16,0.006963637
77521,8,0.003481818
77530,4,0.001740909
77532,13,0.005657955
77535,2,0.000870455
77536,6,0.002611364
77539,3,0.001305682
77545,3,0.001305682
77546,810,0.352534111
77547,4,0.001740909
77550,1,0.000435227
77562,28,0.012186364
77571,28,0.012186364
77573,12,0.005222728
77578,2,0.000870455
77581,16,0.006963637
77583,1,0.000435227
77584,13,0.005657955
77586,7,0.003046591
77587,34,0.014797728
77598,1146,0.498770483
77702,1,0.000435227
77804,1,0.000435227
77864,1,0.000435227
77868,1,0.000435227
77876,1,0.000435227
